Address,Allocation %,Type(s),Sum
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,0.040329692996%,Staker,
0xd057524fa8218d0c3e1ad9d1562402218a725f78,0.039366988788%,"Beamer, LPer",
0x57cc51ce8f46193a6f9434f02695f391b7491e9f,0.039207067334%,Beamer,
0x3f467ca088a829a943f1b3ff96ec4983bdd51049,0.038528018588%,Staker,
0x66a534935e25c59b9a181efcd6889a1f834cb8c8,0.038330868231%,Staker,
0x06f26fcfa33488f77e76a40718bb96dd854bff21,0.038227015131%,LPer,
0x3d32768b4d900513bcc87b3048a647ccf2f7b93f,0.037910793683%,"Beamer, LPer",
0x5c44368c0ad4c446842738bdbf8f2bbf9876546e,0.037318245699%,"Beamer, LPer",
0xa4d7dec11a7787b285a2c379905c6016718f5c46,0.037197969911%,Staker,
0x9aef4330d2ff7ab2884c1081bf136675da92f18d,0.037195768069%,LPer,
0x793491fe4a7b25eee0065e484a52c7a0dfd8c0d9,0.036914609786%,Beamer,
0x5c5949adad50f897e8e63266edd0572afd205dd8,0.035954866849%,LPer,
0x654c13f97b2e7a760084cff3f9a0fd456dde8301,0.035395756938%,Staker,
0xa47f31b991fe1c9b0372d8349a01edb047973780,0.035018539454%,"Staker, Beamer, LPer",
0x370ab8e77362023510f39df5b34f862311ff2611,0.034375376246%,Staker,
0xe4db8dd92bf14f9f7136bbff206b6357e73e2e83,0.034210967821%,Staker,
0x68a804fc092d878f1a956626b0dd3361258d81b4,0.034086206708%,Beamer,
0xdc46bb979bf5102d78ece8e9a91dbaec932e756a,0.033984419684%,"Staker, Beamer",
0xd312818347fb054d30925488a7dcfab6e19e9421,0.033469945854%,Beamer,
0xca718634b7827056346c92ec150fbd03b5cba99f,0.032901355697%,Beamer,
0xfac2f11ba2577d5122dc1ec5301d35b16688251e,0.032766341861%,Beamer,
0x5a40ab806a038afe9c4ef413d36b6356a5e4d2c5,0.032700666400%,Beamer,
0xf3b55be2dbddc148be645b2b61cdd8691cce9890,0.032567084855%,Staker,
0xee20c02de95894001dca59147ebf882b947aca08,0.032229978418%,Staker,
0x8284a1ce9bc9f1c1935ebef594108a2fd0b14157,0.032053158928%,LPer,
0xC7cC004f29a6A53619646a4C6A0a16f20eBa7EDB,0.031976810670%,LPer,
0x222222222222cf64a76ae3d36859958c864fda2c,0.031847772297%,LPer,
0xb0c8a31c7b5c9eca5cc7b7f290dafadf59592c3f,0.031804138731%,LPer,
0x5c0c8d1cf51ac8e8d970051ac69dbdb1315b6036,0.031792309870%,LPer,
0xb7ef760f30d139097ba547bd6f0dfaecbf148452,0.031736070747%,LPer,
0xf1e40a5901b77fef32fb218dad053ee6e5d47881,0.031736070747%,LPer,
