Address,Allocation %,Type,Sum,,,
0x44d60c43aa495fa89c13efa2b5be734a12367f5f,0.06%,User,,,,
0xffebf6d66311148429a29ece5745c75d02b331f9,0.06%,User,,,,
0x7dbe28e793cf29f07e69aa2980b8d30d566bf29e,0.06%,User,,,,
0xbde8bf5de45338c3f0cba476343968489f9f888c,0.06%,User,,,,
0xe9b8f3225983eef3653c3618f4d9dd7a8745a744,0.06%,User,,,,
0xe9191dc0376a01b13751df0ff0cef710bcdf506e,0.05%,User,,,,
0xd7ceecc70693b8268ab3652f8358ed19a36f7aae,0.05%,User,,,,
0x94e08736426948c5f463ac243416f0473f680b2b,0.05%,User,,,,
0x8d655b1af80200a6b81e11482fdea66328b16e05,0.05%,User,,,,
0xe65ee5600293aee2b70a60a48cd44a492ebb6974,0.05%,User,,,,
0x831d6f8ec19c9ac1253930c34dd9aa736ab4f589,0.05%,User,,,,
0x5f57794b240e6f2830f7e67e4afb4be8aaf7d59b,0.05%,User,,,,
0x3c85f013cea5cb27cd81317df527f7085b18f337,0.05%,User,,,,
0xfb17d5cd85854b6bee89e714591de521f3169de5,0.05%,User,,,,
0x26866093247471273f57eeb5420133994e68314e,0.05%,User,,,,
0x8af7e4af401aadc9879b4e3ee900a7d329eaf5f4,0.04%,User,,,,
0x48b6020fbb62bd1b042124b9402740e3f1f9c8f6,0.04%,User,,,,
0x432fcd67815d5cc72808a7815a02373fdee7d740,0.04%,User,,,,
0x012f3976c93260f7e4ce1289638278a870b6678d,0.04%,User,,,,
0xe222ed3ca9f878ff2816ddda5987de728dca5ca0,0.04%,User,,,,
0x94e08736426948c5f463ac243416f0473f680b2b,0.04%,User,,,,
0xf36cb8284ae2d1b6f92302c2d9fa30410e6ac257,0.04%,User,,,,
0x79ce77cd2ff35730c7a2b05ec7e017849e271607,0.04%,User,,,,
0x5ef39ba28d8cab3c9ab9aaabb4f12b1fd777fbf7,0.04%,User,,,,
0x95870eb7b925be6c42f50ba48dd369a9f6a87708,0.04%,User,,,,
0xa97284b4cff5363dd55e63900650ebadb203ac09,0.04%,User,,,,
0x270ead552f7ab60774b3b89f5b05c575f7d682c4,0.04%,User,,,,
0xe77829a44c9331a2b4db1ac9e6ddfb6fdcf24eaa,0.04%,User,,,,
0x4b0c6e0427015bc916bf7c122f764eee32043b72,0.04%,User,,,,
0x3c85f013cea5cb27cd81317df527f7085b18f337,0.04%,User,,,,
0xb8b0cc3793bbbfdb997fec45828f172e5423d3e2,0.04%,User,,,,
