Address,Allocation,Type,
0x41D121Aa242158C59c4fF8A0E37dE18dAaE1a06C,0.03506018665375560%,>100xp-user,
0x47AA92f6382105A843b4817d99658f6075B70899,0.03506018665375560%,>100xp-user,
0x5a71E21266973E8001d99187782e193eA9325527,0.03506018665375560%,>100xp-user,
0x5B191DEE6A09918C6b729547Dd15ce8Eb83A7085,0.03506018665375560%,>100xp-user,
0xBc59BC6F063287e63C4df600a0F8f768AA778480,0.03506018665375560%,>100xp-user,
0xEa0EcEE8FdA88aA2A469d58B186C3f70cf20f540,0.03405846703507690%,>100xp-user,
0x03aD9ff63A6B08Aba50907A613d6E0958d2e7496,0.03405846703507690%,>100xp-user,
0x3e407f4158440F1e5a9E6BA98b0198AEA6d837E3,0.03405846703507690%,>100xp-user,
0x2719e4c5F93224F02D7B0cA9F86894A98F49e21B,0.03405846703507690%,>100xp-user,
0x59A4097626d038Ba608001b69BF36C051c47E5aB,0.03405846703507690%,>100xp-user,
0x419B9fCcC5b109Db74187F0400b33D30a1b3b352,0.03305674741639820%,>100xp-user,
0x55F218d76caF37676dFcE859160A9088B298fa69,0.03305674741639820%,>100xp-user,
0x5c07D79060901b8432Ca7221893E11066cc68fA6,0.03305674741639820%,>100xp-user,
0x44Fa0926988C0B0a7d57D80B137900D31Bc3A08D,0.03305674741639820%,>100xp-user,
0xf3efa7be2b98d7B84F1AD5A234bB2fa9F5DbFd8E,0.03305674741639820%,>100xp-user,
0xC6EfF48F051Cab58EbE00202D0bA7FBFc7409BD1,0.03305674741639820%,>100xp-user,
0xe345c02b619410bE38bcF97C54b6683875F7b90b,0.03305674741639820%,>100xp-user,
0xc97a4BdCEBFCd1e3B0495691fc7A2E91d53E249d,0.03305674741639820%,>100xp-user,
0xd463f9290290d477A3Fc14feB2477EF03D1F69e5,0.03305674741639820%,>100xp-user,
0xf271FE71B4e09F2C14B7C0022092Bf0ACc8479FF,0.03305674741639820%,>100xp-user,
0xdA1aE474897c65E2EE2ED9fF0A1c4bfC10Db00A6,0.03305674741639820%,>100xp-user,
0xF4345237B492D16Faa20A6b6817aBd0bB123e231,0.03305674741639820%,>100xp-user,
0xfaAF73fA076f0Fe2fc4Cf432ec8711276b007c35,0.03305674741639820%,>100xp-user,
0x800557569ffD43618298A784486A8757342aEa80,0.03305674741639820%,>100xp-user,
0x7dd640341Db20C65E2b351ff769e5AdADaA93A47,0.03305674741639820%,>100xp-user,
0xAc23353a2d3116D2C42128d63Fc5A415cb325A55,0.03305674741639820%,>100xp-user,
0x949A6390c49B2b9CB363fDF58eFE012273f4D161,0.03305674741639820%,>100xp-user,
0x836DdEb31bDafB3a7E65709390fc4384af9f1722,0.03305674741639820%,>100xp-user,
0x2b0355B00f1a0eb464Df9579d0010974AB8F41Ec,0.03305674741639820%,>100xp-user,
0x36cC4699E0081a61054cdD463Fa6fd92D39F17C2,0.03305674741639820%,>100xp-user,
0x10DB721848A8C99203185c4c5d2eEE72bec1CDBf,0.03305674741639820%,>100xp-user,
0x3bA173acF64b5AA7cB5Aa57a81117870e6056d1e,0.03205502779771940%,>100xp-user,
0x2DEF0bCeE5756b31a26Cf9e965a1D7f6C2dB1035,0.03205502779771940%,>100xp-user,
0x0049588c48c5AA7fcc50BDf8EB5D6151D0d31668,0.03205502779771940%,>100xp-user,
0x0fE07536c784eF37ca83c8DF8dcf03b3c1B4816a,0.03205502779771940%,>100xp-user,
0x201cB9968116a457F014F6101D37C62a03a47d80,0.03205502779771940%,>100xp-user,
0x71ae6EC7554E3b5663c029cf4c9aB23da700492b,0.03205502779771940%,>100xp-user,
0x4825aeca0500eD908D2a546952f17cc94Af94a0f,0.03205502779771940%,>100xp-user,
0x6d8adaA75c810B2df6d43D64ea4d9eAdd6F6B5d0,0.03205502779771940%,>100xp-user,
0x71E1E1D4884b31adEd77e546C072f25B9B157265,0.03205502779771940%,>100xp-user,
0xb844bab33f203793b369d617841b83f07B99F97f,0.03205502779771940%,>100xp-user,
0xbDE6361E195D9c4bB83f2c6479CE7055fAB8011e,0.03205502779771940%,>100xp-user,
0xEF75264F97363a9439FC83f4695d43abaA8f80c1,0.03205502779771940%,>100xp-user,
0xbb0398DDbCc837e66fB7B4c146569c5C5f8d2940,0.03205502779771940%,>100xp-user,
0xc158cdE065A5a8F954560d72FEF0ccf4b44cDD2d,0.03205502779771940%,>100xp-user,
0xD557dE44e546894F7cD1b9f354A2a5EeE8A97a81,0.03205502779771940%,>100xp-user,
0xeaaa881A62b48875Bf344c444c7D0e75F1fB94D9,0.03205502779771940%,>100xp-user,
0xE1D98D286B85524c94fdDc99148F20Af630A8511,0.03205502779771940%,>100xp-user,
0x99F83eC57Fe1e09da9a20Efc00156b71826E11C6,0.03205502779771940%,>100xp-user,
0xa20dAe065e498E4b76e404DC5F50213f80FD82Bd,0.03205502779771940%,>100xp-user,
0x9e0B5448bB687bb99b4d5A578D3C98d64A3eeDcd,0.03205502779771940%,>100xp-user,
0x87525d9f96E58110538EBcc86021bBBc34b4680d,0.03205502779771940%,>100xp-user,
0xA07f530663171df7A1d63F95feE781438671A111,0.03205502779771940%,>100xp-user,
0x9A429e9eC3C302F301c37C3c97A9155A5A34b958,0.03205502779771940%,>100xp-user,
0x91A75b923cD042fB2B432DE30354A221f75cDEC9,0.03105330817904070%,>100xp-user,
0x8C45Fba2FF2904Ab76Ca38367Ec0B79f5de504EF,0.03105330817904070%,>100xp-user,
0x75B2bCDAB865c1290595BE9300f1c01e5F4CF58f,0.03105330817904070%,>100xp-user,
0x48Cfa51A92eb699608dffAD89Ce9A389b7c23612,0.03105330817904070%,>100xp-user,
