Address,Allocation,Type,Sum Check
0xd70298a0403155e2cba3c646c03904447c2adef2,0.1099%,Token Holder,
0xcd079cc50bd357795441fa187ef157bbabf90f7f,0.1099%,Token Holder,
0xf0da08cbefb295a9cb320f97df0bee4c2e14a59f,0.1099%,Token Holder,
0xbb4b772668b9db6eff776ea9ee01bab352c5c819,0.1099%,Token Holder,
0x85c206cc64d042ba9ba0717a3d3ea9c28abcedc6,0.1099%,Token Holder,
0x001d853ff9b50d3687d8a32b674d929973e0889f,0.1099%,Token Holder,
0x11a6473c90be897b1d76986e8ee4b3360cc664e3,0.1099%,Token Holder,
0x57e11965feb9f73732fbef1a4fd0b9e2bb70ffa6,0.1099%,Token Holder,
0x16f37d2b80fb1e81c585f1127b693269202f40a8,0.1099%,Token Holder,
0x836b2dbd78f50e10295be5d2a4b93bae640e33e1,0.1099%,Token Holder,
0xb268738b882a4c7ac51e9643d76b06677ff6d4d9,0.1099%,Token Holder,
0xcadbad977451217e16ea7f899f1479d4e123d286,0.1099%,Token Holder,
0x12ea5e79466c93023e0179c258c70cc9e76887f3,0.1099%,Token Holder,
0x54edd12f46587570d5138943b77b93c4d71c35b3,0.1099%,Token Holder,
0x4f67e334b05c0e1d008f6d2485001dea48bea91a,0.1099%,Token Holder,
0x56777e561cff1941d84637f2794775e7c8d64bf1,0.1099%,Token Holder,
0xf58738234646a4b725b6edd57e8fa8a5c7cb315b,0.1099%,Token Holder,
0xbb9103261ddab65ab6c737d29cececf4b4172de9,0.1099%,Token Holder,
0xa90cbece97dfdd567ac10c247847d212d0bc64fa,0.1099%,Token Holder,
0x252521061f8a6cc6d4625d1201448dced67277e2,0.1099%,Token Holder,
0x9745738d711e556d281572e2cfac0d98b0cd8164,0.1099%,Token Holder,
0x2901fbb1cad7697b207ca25cb6241d1402cdb755,0.1099%,Token Holder,
0x9d3e8b8b07a3b332945902bd44f930f95d12b1fd,0.1099%,Token Holder,
0x16f93b03bc9f2e17cf8bd989bff106ab72c73190,0.1099%,Token Holder,
0xb089425c9c078b70cf96cc6051850f37f86b1426,0.1099%,Token Holder,
0x0022442163160b517f36bf08ab80b01a2931df4a,0.1099%,Token Holder,
0xbc41695cfb12227a729c450b87265fea9f2c2d1e,0.1099%,Token Holder,
0xf085548d7bbf66b8731e1a16bd891cad98cb102a,0.1099%,Token Holder,
0x1fe0d4ecb634daf1b4c4c61660945ecf495cd0b9,0.1099%,Token Holder,
0xd6e40d5a756fdac7220ceff0a355cb11b0ddd0f3,0.1099%,Token Holder,
0x1f6c9ab2eec01f9819c6dbe651529442a215ecd3,0.1099%,Token Holder,
0x803305a73d2260f1b199e4ddcf8453d7f5b1c636,0.1099%,Token Holder,
0x995d99a182010e348f9369b7f83f5d7850ae3c9a,0.1099%,Token Holder,
0xf4654c162a256758ded7bc9305333e2f4c209849,0.1099%,Token Holder,
0x128018899d73f9d67925900797ce43f9d9efd253,0.1099%,Token Holder,
0x01d66fd12b22f9c5a30cc9daba4b4961636271f8,0.1099%,Token Holder,
0x611fb14572746bde3330b978d55756eebfc0a6a5,0.1099%,Token Holder,
0x005a0368a2fd30c2afe1f099d8d41b74bd314936,0.1099%,Token Holder,
0x0d4894e2115e0cc0b5d495bbca084f39cfd84812,0.1099%,Token Holder,
0x00f52a1bb69418e0375e047cf029bc24b8e222b1,0.1099%,Token Holder,
0x416136a9187224f1c064321afa6d66f58a15bc07,0.1099%,Token Holder,
0xdc2389885c83cda15d307d0528d3fe54700f2083,0.1099%,Token Holder,
0x4c77da8c4d6a4c890b2df81a29577194b1e54640,0.1099%,Token Holder,
0x7adcde8c56a8f21dc4ffec288f1920f27caa2899,0.1099%,Token Holder,
