Address,Allocation % ,Type ,SumCheck 
0x6EB1C39B3FaB5e056B7E9ad0287De8e209fe0536,0.143040430765913000%,staker,
0xc0b442B1b4C19a30aBA0965aaA9eA4Eb5Ae6C414,0.142787521551536000%,staker,
0xBC6863EF75e1a38072fA52bb434639A00E583d31,0.142414546104482000%,staker,
0xc8ef96Eee7FB2d37F2A1C62E9887413EE2b24739,0.141175433605677000%,staker,
0x22CEf00C6338Ee7a15cbe5Ff9eAe65C95960C374,0.140823542644606000%,staker,
0x55C9C1EF81Ca4eaaB2Dc489FA06d767c89e61bf7,0.140642205016388000%,staker,
0x813ACf9cb6198dd0fD5de4E5570d5B712253db41,0.140087858698390000%,staker,
0x7eB62D22BA942672e6AEcBd06F6B41Db161Fbb7d,0.138291039155025000%,staker,
0x636E194106F49d7ae2fcEFD2487fD3abe187065A,0.138264275460154000%,staker,
0xb8bA190F7EfBA2cD3dDA281240482b8C4b722998,0.137769295211574000%,staker,
0xbFe793082533E2B2AF54E08CDB35f830310b3A08,0.137166488072809000%,staker,
0x8d887bd81d28F9Ff2Db49DFbe7225D8fe3eB199e,0.136853886537805000%,staker,
0xA4ff945068CfbAf82cC3CF001fC21C91ef9a971b,0.136841000195239000%,staker,
0x87708C760eFCd11beda9700787787bC6eb714F37,0.136281859909692000%,staker,
0xC60C3CD49a2C3f33c2bf921a9C275b0f26a7345F,0.135966632857973000%,staker,
0x0a0d9E55F010fEe11d383313bC44517c4d33907C,0.133995286149228000%,staker,
0x2c20BDa5aE5F220CaC87de8C2C81Ae173bB42cac,0.133804097657533000%,staker,
0x1EE36382E4C4FE2CfadE36Cd159E05d833e2aE00,0.133588637712127000%,staker,
0x66d813998b368c10A1E4e48d5Ca841737EE769c8,0.130130087472799000%,staker,
0x4BA6d4f3a3F91d837CDf241E083D3DC2C1A7A634,0.129704450512060000%,staker,
0xac4b75C301C3c2C1022F4fc5C0c595164bd2DE18,0.128272130081094000%,staker,
0x624A7a7A03Db1750802e97a4cc04a87Da01dC5Bd,0.127505828185873000%,staker,
0x2FCAd6362dBE7355C2479A19558605A49fE002DF,0.124607021492751000%,staker,
0x013cCcE8DF65A215957Fe79107B70F27c42c7078,0.124345149114121000%,staker,
0x8dd3682d153eAB53330e7C0FB7C15F6EeD4e8Fb4,0.123555668395585000%,staker,
0xb11613fbD5B1732ed06b5bE47C3C3d64541C4D83,0.122461762522109000%,staker,
0xaD88aD293C622E6A5D70737B9edF9516E7a1e539,0.121793095058220000%,staker,
0xdc15E8dF9d78a3fe4085c5F113D3f75506Ea581E,0.121408125381913000%,staker,
0x5E9e3941271170f337e3fAeF3cEaf000cC67367c,0.119023056504432000%,staker,
0x6EFDf4cF867ad072d7eEC1c90b8a3A6D1082AC0C,0.118911556616581000%,staker,
0xe328554AeBbCD385462288F1637dC320C2fdCFC6,0.118635301891792000%,staker,
0x20Db005a3A0953AB3bD0507AAe7D31C387383f62,0.118458994941211000%,staker,
0xE09aCC51eF2ab9458175811C13FF0D9036bD3211,0.118196951016879000%,staker,
0x5B6f27a7418C6C79dcaf07C4AE18E6FD10355944,0.117752975735020000%,staker,
0x5f42A44fe2d0a98f8860B65d59697f9ca332E85b,0.113695341243896000%,staker,
0xD8420DAdD9557173e8b0621701D56F87D8446565,0.112084525350476000%,staker,
0x8F85e55c9fE8B1C83D816dae7e9AB2d6C522322C,0.111145377345758000%,staker,
0x2E98e98C2023b8dD04dd20b457fB387b58BD7ad5,0.111089910318671000%,staker,
0xAe0B9150E84715441d8DBb9D10610Dc9dCBb7895,0.110752015274709000%,staker,
0x796622eAd4fe75F13dEbE44593fa85F8763275e0,0.110096664626185000%,staker,
0x8BDa392fC06DD1C1D148d437EA2f6E15587fEf81,0.109078091136024000%,staker,
0x075cA8E7253bdc23B2fE8954eB6544fd0C5C669F,0.109055783726768000%,staker,
0x0D0daD1e9838D754A498eC9DBF546F2e68d2fFb5,0.108336190582235000%,staker,
0x9B2d4167A57B743Ce434FbbEb9f6A9455aea7a7A,0.105315017431971000%,staker,
0x85cb76E684a51A1357033F431Db91af3126fE25d,0.104952557034119000%,staker,
0x9bB3eba16ea10Cbd2c7Dd7d4B9Fb053866d075fF,0.104369803418314000%,staker,
0xD5E47b07b02C9aD828e4E8b191E61C3E296b401F,0.102830962856434000%,staker,
0x9E68BF31788a2fC672e2B83d44612f6aC0A6bb98,0.101883316539270000%,staker,
0xF79031f3a5A8bA7572dF05DdDBDfA63718e0F107,0.100289481492388000%,staker,
0xCc34b0444C3991035CC0120Ffe3BC426f6f556F3,0.100269863467708000%,staker,
0x796F99ac5d90CADd69a9CAD47781d9a9A2e5aBb7,0.100101803851061000%,staker,
0xa8988876410786D456bAA021551EB030A5AD1a63,0.099236770853219500%,staker,
0x959aE52cC2e39882E3180Fa626cea16418489C9f,0.098925296602512800%,staker,
0x86063C3980d0c0b6888697A33C52c041bAAdA70F,0.097852834170181300%,staker,
0x59b9eFa73e7Bd426e37C9A34b8A1c82f994a0f75,0.097221173002917100%,staker,
0x4099C808A7c5d264B21fBAEE9cF7250EfbB756D3,0.095521578819788300%,staker,
0xad9e1a92AECaB327f570d29c679248E0B54a5A98,0.095281042580778500%,staker,
0xe9050a041d2E25AF27b17E6F98AE34808C1222A9,0.094816571620556200%,staker,
0x36F2Fe0761d1C4a1E176b86B46402bA4c455220f,0.094541631984095500%,staker,
0x5C81e4A26D6A3f2C191975fA14199De0939Ddd98,0.093864743982992500%,staker,
0xF155E9Ca9B3D106501231F906032ec4Ae47Ba76e,0.093633354643613700%,staker,
0xc59d7d18C3735acE1B2c526d86fE17BC0E2F3944,0.093153154662985700%,staker,
0x7a5E55d0b8B1df8ec1e36f5f52087332E3b63BcF,0.093146975857250700%,staker,
0x1489dcA0E720126951B4FAe6A0Cb09DF4Db78429,0.093038082286528200%,staker,
0xA3C6aDE2943e618fAF50B0ed59222f0a5E5743B3,0.092066293967097700%,staker,
0xd5c8D34ae998eCede4a993f3C7a3361217E6FA79,0.092017075144916500%,staker,
0x1a07d91B96D561B0022eDc0bbA6a57efDA851D7e,0.091575212430726300%,staker,
0x7F291Db5456AD23ea865a16A82Cc04d1E77c822B,0.091447849967236400%,staker,
0x983EA933C32b44661CF7b0d8b07cbF28a5a47419,0.091354522247668100%,staker,
0x8DEf342cD174dcf9Fa3aCF960a55434c639AE7e3,0.090931401739742200%,staker,
0xeE424De81BD2B881499aA8178d48b7E85f861000,0.090869353499501900%,staker,
0x784d62c55f52A9211010aaAB1408A17615bB4868,0.090853541531746000%,staker,
0xb4060046Bc4aBF328ba7752bC3ae4C2AdC613432,0.090416460264772600%,staker,
0x432FCd67815D5cC72808A7815a02373FDEE7d740,0.090313951422066400%,staker,
