User Address,RFP Allocation,User Type
0xf09e1662a08b9c3527f7ad8e4ba2b40bc248398d,0.045034587864803000%,General Depositor/Borrower/Protocol User
0x2fe4eb6c727626f0210d5baf54a071231d889885,0.054789432182410100%,General Depositor/Borrower/Protocol User
0x0b05dcb04f7c4e4f034c069b9ecd50b7a9468e49,0.071870953994626800%,General Depositor/Borrower/Protocol User
0xe95d2e70ed00eb385385a06aee080d7799111166,0.082543994028871800%,General Depositor/Borrower/Protocol User
0x7f7069750d08e431e09d433a8d0aa0558ad6bf0d,0.049075846026578900%,General Depositor/Borrower/Protocol User
0xd1f932f4f8f6fc1d0573126fd184cb28a1be3651,0.059991172776046400%,General Depositor/Borrower/Protocol User
0x4753a05c87cf9e51c7f9f9917c9181bb7ebd0e5b,0.044520827129396100%,General Depositor/Borrower/Protocol User
0x2fd798a8fcc64ba1bc62bf363a6a28f63e93d5b8,0.042993222214112500%,General Depositor/Borrower/Protocol User
0x63653d81f27e962d01fc3868a8af4933cda80f70,0.046261907511817700%,General Depositor/Borrower/Protocol User
0x86026b3865271fa6cb03c71081a23ddce8e3e1f1,0.067615567373673900%,General Depositor/Borrower/Protocol User
0xe1f987cb66d8f0da79cb0fe245500200bbfba51e,0.063625969654271700%,General Depositor/Borrower/Protocol User
0xe1f987cb66d8f0da79cb0fe245500200bbfba51e,0.031031977469687700%,General Depositor/Borrower/Protocol User
0x1c0cd21e168c41d954c1f10c14f1df6ecf951fba,0.070445205165381100%,General Depositor/Borrower/Protocol User
0x7f2e54d53258dc45b8581f11f924075146608d19,0.088570989273360800%,General Depositor/Borrower/Protocol User
0xb39d9d81ce88aa1679f0570af6e452d50358ea3f,0.036645298919319900%,General Depositor/Borrower/Protocol User
0x134a8cf663a8ca0efbe0d2a24c4915216d5a3a68,0.066152608746071900%,General Depositor/Borrower/Protocol User
0x63d792ec37b54732c9a74a8373ab17747c373821,0.054951445892477400%,General Depositor/Borrower/Protocol User
0x397ae3d98a47081fe1ca76bb62617cce9affe843,0.113157369880661000%,General Depositor/Borrower/Protocol User
0xed5c0ec452cd2c41817a770757f5bbad45877f90,0.038902014894181100%,General Depositor/Borrower/Protocol User
0x872bfc29c1afeba7f2e7e91ac21a511719a56766,0.042446990822720400%,General Depositor/Borrower/Protocol User
0x13c385a2aa976b637d2a701dec0e2479cdae3bb7,0.070474229710960100%,General Depositor/Borrower/Protocol User
0x5b1419e3b2ab4f55178c14b7d1d5326d9fcb5dec,0.044544369027345100%,General Depositor/Borrower/Protocol User
0x68da80e7824724184155f5a544461a66e4b8a638,0.054946347953680100%,General Depositor/Borrower/Protocol User
0xedf7e101911d8f62c6d3528ee81fc4f50009a91f,0.046349838845291800%,General Depositor/Borrower/Protocol User
0xbc3502effa6815d7f9e7cd4e2f0232ea77690bef,0.097684861748431800%,General Depositor/Borrower/Protocol User
0x8568d25d37fb1b1fb433d23b9e1d251ef54af7e2,0.053119402074703200%,General Depositor/Borrower/Protocol User
0x32e3df7bc12770fd56cf984ecfa50e4892ee00a3,0.048615087216007100%,General Depositor/Borrower/Protocol User
0x7cbff5b9e6cb68188b2df874f723deb064baa914,0.085357019091212800%,General Depositor/Borrower/Protocol User
0xb1c74d65927843b819dbee6221273d7500d497e4,0.044588632713278500%,General Depositor/Borrower/Protocol User
0x185cfafca1f2d364c1acb7d568b0f221623d40ed,0.070159046529092700%,General Depositor/Borrower/Protocol User
0x625a1a58897f3b250a9c68afd52ec283ec94a03d,0.143894977446258000%,General Depositor/Borrower/Protocol User
0xc437b7985468ec7fc14f2a810b852f400a918392,0.040075644424458300%,General Depositor/Borrower/Protocol User
0xec15fbebd5dc1438eb54fb7c0e28bf2cbd79cf87,0.043189593047086600%,General Depositor/Borrower/Protocol User
0xe71f2708641fb72fb9926ddc4434bab9c6427570,0.027665078261155900%,General Depositor/Borrower/Protocol User
0x6fadc1ddf180f3ed729006fc0aa9122828b68931,0.049574941182001700%,General Depositor/Borrower/Protocol User
0x4e90da1ddcd5b0fb295b6a69251b5d04d5bcca7a,0.053094871843792700%,General Depositor/Borrower/Protocol User
0x547c8d938b98cd17ab7c653a0d98cca80eabb876,0.030696033007788000%,General Depositor/Borrower/Protocol User
0x4ae2383d824f90ddbc3f45064038d3ef7b5d97d8,0.041725314855764900%,General Depositor/Borrower/Protocol User
0x531802dba3711eaa658a35f15fae34844d38c0a9,0.071186656532219900%,General Depositor/Borrower/Protocol User
0x77981d4559ebf4736217b2ae666cc876a4982826,0.067002052431567800%,General Depositor/Borrower/Protocol User
0xc1c589dc0922399b966f515d4b6436707d679974,0.037391560965697400%,General Depositor/Borrower/Protocol User
0xa19a4efc06bdaf922e4889cef1a80f1592208b76,0.029937027356976600%,General Depositor/Borrower/Protocol User
0xe92f0e0f6ebf4cbd3d112bfffba9a41d9c65618a,0.025341053903274400%,General Depositor/Borrower/Protocol User
0xf4810d4f5f23d8e3cf9a65d5a588dedefbc71407,0.024973236616058600%,General Depositor/Borrower/Protocol User
0xbc6230c05952b65c21603514eac5d7cb7e56ca96,0.117313205150904000%,General Depositor/Borrower/Protocol User
