Address,Allocation,Type
0x468c86Ca3dE9D0Bff4C18D367A12BA55f0c7bf01,0.05440210%,product holder
0x24F0ab440956bD94922C22560301f6F5FaA9711B,0.05392682%,product holder
0x1a3d846CffB81b68eE4538b17d18AB5F66ab25e5,0.05389042%,product holder
0xcf4F6E2b203497EB3Fc3DD69B32657D7278656C4,0.05373891%,product holder
0x6f9BB7e454f5B3eb2310343f0E99269dC2BB8A1d,0.05346441%,product holder
0xe615387A8F9C2E39c274D29EDD84beb7045Ab252,0.05255754%,product holder
0xfb61e503D5572896D6590C29613e799D49766652,0.05245501%,product holder
0x99e9Cb43f78cb6FE0809BAe8D955333C55200821,0.05227217%,product holder
0xf02B17f2574161D00BB6aF9D4EA10D141033E249,0.05166393%,product holder
0x5fE4CDb5D41c3E08Cb9689887CD94596E4E0e499,0.05156053%,product holder
0x578365A938953943e9af411D9Bd7324C7176A3d2,0.05139322%,product holder
0xE76aDA2ADE5585859789b3500DDE494e5479fb75,0.05116905%,product holder
0x0D65Ca083b13Adf71a3ef307Ae8afd1632fF50cb,0.05046675%,product holder
0x96d2452047fCf17A881DB3CE13c828891C55A1BD,0.05040337%,product holder
0x12008D4A41A9d30F691579bBBb6923698096B6fC,0.05029415%,product holder
0x6496D163b2189971f72c6fC7756d52510db8A2b4,0.04970374%,product holder
0x1BF338646c1235AE3D55Ff2DaDD07e655fB0Df13,0.04969548%,product holder
0xF2f6709F1917B3ecb2e97FAdfEC206CD56dA76Ed,0.04964994%,product holder
0xf7c98cB957465509F53AAE3ad8dFB1E6cF1eac6A,0.04933368%,product holder
0x8463D6fFCBfB56Bf20AB2E1111F9a0E8359533f2,0.04871273%,product holder
0x1540F6fA70c04E5a5daC6A134D9dD03Abd301B1A,0.04836221%,product holder
0xE87a10d5B212D169CCBC9a50Cf5E23DD3da27cb6,0.04819209%,product holder
0x1F37068feD5524aa4eFa4408C3758cF3edFC520f,0.04782450%,product holder
0x25eBAb74687236c711a612dA494c79EaC2a0f250,0.04770719%,product holder
0x719abf1b84a013741822766F11A62867Ec59C92F,0.04754677%,product holder
0xc7d36f9145dBE07fafFE092a7e9543306c77ce71,0.04691008%,product holder
0xfE7095C9dE2C5C76638f31C00dC90b94c4938801,0.04684791%,product holder
0x537280AAb7189Fc1ec0f15C755AC857e866f9c78,0.04682849%,product holder
