address,Allocation (%),Type,Sum
0x01fe858f2ed1ce6f81c1bc2ba93ee961981576d4,0.00606%,User,
0x5e4c90120e78a08b4491d5655e66c49d86d56525,0.00606%,User,
0xe1bd9a88603409eff8818db72ae982ecd5b560c8,0.08143%,User,
0xa34d6e43bee8f1b1f6ca0c91fb4de96e9c8a4f9e,0.11151%,User,
0x3203bcf00e64c7e5fadf1ab4e785484a985d2726,0.00606%,User,
0x1aae3c997d7bd84efb070c1fa518982330bae6a2,0.01818%,User,
0x5ae1f982ab8d0073b7ebeba2d0aae16141ac2ef4,0.00606%,User,
0xc7fdb2d2b5f0806fccf97151e7c1e281c7220c3a,0.01212%,User,
0x5480259e435fa36e098601525aa1d60defd43a2f,0.00606%,User,
0x0c65571bd2aa7b46542eb887999e3d05125fe924,0.00606%,User,
0x5b4b59cfe9d5bf1ac734f3f0f5bcdf19b53add64,0.01212%,User,
0x928e007039be59c3ac936760f3b470a837a3cb3f,0.01818%,User,
0x6d3c81ab31525c639058c8dd5c0a6d05f136c637,0.00606%,User,
0x811371e2ea0b8353ec2dae626f33db70d7713fea,0.00606%,User,
0x34c285c9818f8b6f64e7aba1aecd6ab4f39cffd3,0.00606%,User,
0x1df6bad81d56877077b0885f6c4771a85cfc8008,0.01212%,User,
0x323ec7395c251eff50fc459ed1c1589cd356c5fc,0.03636%,User,
0x65969715aff4460c035ef6c2243c843530cb3df9,0.05484%,User,
0xcb4e0d0632883d5ae56c24ccd2ba212602f3160c,0.00606%,User,
0x89c5bd85e5a6fc4ecd12b4715287ef9c6deed1e1,0.01818%,User,
0x3952a7547ee55fa90131f12054cc2e5fcc43e989,0.01818%,User,
0x0ff8f64a3ae4d3f60abc7c2a2ea4caa95c0c4c7c,0.01212%,User,
0x393b23d3bf76deac6916b2560cf3004ade88c468,0.00606%,User,
0x1b319e3f01805ff2c54234868732f90d3c20e67d,0.01212%,User,
0x1719a22fb07a29222c45cce3ec6e7d48831bce16,0.00606%,User,
0x90c08a00f0adacbdb1a0aa695f90e6425c870a3b,0.01212%,User,
0xd3acd92436e6f93a3153491ac39accf9d310224f,0.04242%,User,
0xe4dfdb2b3f59cee6c484e19e3d5f0dd4535993cd,0.07302%,User,
0x230b217ffb4aa392e8c1f8dc199046eee4ba54a5,0.01818%,User,
0x9e05acc543abaf8630ae9080a52d112545c17d73,0.15688%,User,
0x95ffb85dc94dfe36bb5e4b61ecb5855d39091259,0.00606%,User,
0xa56b61e5dee77d1668569dadd699f70eab4e193a,0.00606%,User,
0xf50f4c4b38f33513773fc6ead1f668190775df56,0.01212%,User,
0xaee394a8e28be8b27d9a08e80c9a8ad6d72e52a6,0.05454%,User,
0x089bf3e372643868e2efd18b00bf58f4d93511c9,0.01212%,User,
0x24a7806ed40b7584538efe34bfcbca436ec68e60,0.00606%,User,
0x113607267004cc98502e06a3c3abd48f5c5fe645,0.00606%,User,
0x69465772824f30f58322a1fa7515e2feb5d3aebf,0.00606%,User,
0x411954dcafa6714a0a6f3987d0a631af5360b073,0.00606%,User,
0xf17779f0b22f4bcb2ff16a3f0fa18166ef295a93,0.00606%,User,
0x3cb18064d8ba8218396f3a279ef590da8178db2d,0.00606%,User,
0x6dbb8cd2b88173f0f0e1eaf98a9a8c3737cae465,0.00606%,User,
0x0af80d3fe4babebcbc991100b5ed5f7e6364d37f,0.00606%,User,
0x551ba9a9845b9ff7351ca3e50a2696f55b3145c7,0.00606%,User,
0xdef3e1555b6adb0ec1dc00fe892ed80983c54cf7,0.01212%,User,
0x6c280c67d5dcdc9937b838240dfe42fefdadab04,0.07246%,User,
0x87cdb3e1c30a37c05bdafba0781d373652f0a596,0.00606%,User,
0xe3f5eb448f9c78f51e51d4805d04b3216f64e631,0.06090%,User,
0x1cfc87e9fcef2fd8dd1169378169dca5b40e4124,0.02689%,User,
0x6b162bb6b31d067b245d3cb490ac3483a321acfb,0.03901%,User,
0x0934a30b5923dcf1b4fbb81e29707efcbfcaa6f0,0.00606%,User,
0x854151ab45325fd4890fdbc027d6486db6da8ef7,0.00606%,User,
0x879921e6b53d564e93392ef2ba1e1556a6c62753,0.22615%,User,
0xb936ae079032b368505dba3092bc175d7039e680,0.09935%,User,
0x347e3af43bb62ae59569d09630c1287f135c7cba,0.06090%,User,
0xfb7cc3f50d10c5909e618ca87d81d47f9ad9a328,0.17528%,User,
0x482efe595b15a8222c34d2eaf7828d1785a8dbd5,0.08514%,User,
0xd71fded6d8deec172b4073a9421eca70043b2d1f,0.03951%,User,
0xd7f6be7795c3df44494eb9a1c0e466530cc93173,0.00606%,User,
0xc4976f4a0712c7a20948b72b6eea5c94f7c479e1,0.00606%,User,
0x87480eef689462b775c02a605dea6bd7896dfd35,0.00606%,User,
0x2f4d5ca0e1f83ff9c22261e35e5e61bc5ea34bb4,0.00606%,User,
0x8b5664703fad4e5939ca9dca94e64009636135db,0.00606%,User,
0xa1feab3baf1c33dd97b705c8c4d6c76c900eb258,0.01212%,User,
0x26c6ad3fd8eddd37b969f35bddb45acfccf04dcd,0.00606%,User,
0x503972b5063ac4d8f69831583fcb97a837e8b719,0.01212%,User,
0x682b715424441f5e3234de5b0cab907340e1fa66,0.03951%,User,
0xa791f5f2ec4b54477231d43d0bd5e083f9c93f9b,0.00606%,User,
0x150ac22b9b88191e29445aa631cb531e0dfb950c,0.05984%,User,
0x162764d176bca839b5ad1216e0beb676f2e9416f,0.01212%,User,
0xc35dda6d50a41273cb63f3463223c704e4605cd9,0.00606%,User,
0x2786436a118e5bc0cb8ee3d7b34fe9f33d55b1ca,0.03295%,User,
0x1daee39823a326aea258c8999a0ad62ea249f32f,0.00606%,User,
0xa5839867519c6f56b20eaf86e66e7c1aa99a152c,0.05484%,User,
0x7154481f2dede2101296c88c4a48972b270720dc,0.00606%,User,
0x25db62b14b3c1968c60f68cf18a644c2af82612a,0.00606%,User,
0x28a1dd3e1246e07aba59a81b28dfcbe892d56bc1,0.00606%,User,
0x8715889a2ee17bfd30df4fe5091d4f3c8ef3d49d,0.00606%,User,
0x28a900f5cd84d0852acc1413d1a6a1bd9701f908,0.01212%,User,
0x2d2d412244ebc9183c41d1776da993a1b2930649,0.00606%,User,
0x11cbdfbd3ede5c4642e54bcedb0b7e23a8ac1dd4,0.00606%,User,
0x4b2d7baf984234929c32137210f6802bd723f890,0.27334%,User,
0x00596c004ad85811a330b86d3f42d8dcbe7c8e9d,0.00606%,User,
0x7439c5dcc169b2f4ff8484ddc0f5cbad27297b96,0.01212%,User,
0x6759e4f172d4cc5f69b740675d90fe0be8603d9d,0.00606%,User,
0x71af2ebf841d142513eabe97e2f8a53ed8bff912,0.00606%,User,
0xf5d4a3b9fb77d1d5600a10e0e1c4efd12f9be751,0.03295%,User,
0x10c73a5ad077c05154ad079b04c802520ae331a2,0.08173%,User,
0x18552847e4b7204c1e97f8f2210ee07de0084c35,0.00606%,User,
0x3e531b2985f9e43f22c698fc385c4a9b039df594,0.00606%,User,
0x8cd9bcf66a613f1079cbed96f5a951ebf66fa875,0.00606%,User,
0x23e5d8170bbbbb1148483d59ee834223fb70a6fb,0.11809%,User,
0xcf3da259afd530ccaab384ea07069456b3bff3a7,0.00606%,User,
0x5365d138d74637f59935c320d602c6eb2371f624,0.01212%,User,
0x62786923ebaa3cb53fe694042c27181920c96b44,0.00606%,User,
0x23d6ba6b5b5d86839c373b234b25137a26bc9ae0,0.00606%,User,
0x23d2b7d59a6f7976cec58fadef92a3eb2a6d67f5,0.01818%,User,
0xc7c3bcb4c25860dcb2de90bda366ae0a37d68183,0.01212%,User,
0x10a2e2eba934c9d494d49b1847eeb103f89746f0,0.04166%,User,
0x3b3dd0fd96e0ae2ea1b30725172e0d14de79613d,0.02083%,User,
0xedb5b73e6fa35c96ffdd8649fc7614067ea3984f,0.02083%,User,
0xefe1cacf8441fa0faa84e11e119756c7116e8545,0.02083%,User,
0xf1746a9dceeba9b70260c501755a35567df96ef9,0.07246%,User,
0x4ce631268c24429cfecd1b25493ed71cb00d978b,0.09385%,User,
0x36a6f6f423778a71fbd635081f4ee44ff15b9d6a,0.03951%,User,
0x7f0e48905d8d507fd2a78059578b873e5bc4939d,0.06690%,User,
0x816621188ef4a87832000c4ab44a16b6bda5406b,0.63664%,User,
0xd006b76658b025e91f464caf31e2002a9f79cd11,0.03951%,User,
0x8bf72129a2daf852060c7d855f736c44586a1994,0.25904%,User,
0xb1c39640cb9cfc20a44d0c78e852d1b3e58cf0ee,0.08223%,User,
0xe921dd1ff19195c55871486a8bbcc0d37bdc3e66,0.03345%,User,
0x3edac58fea746320b1fcd51c3ae16ce2c4f58231,0.07296%,User,
0x247c987c5b0e43cda5fc2bd54df55014d67095a3,0.03345%,User,
0x533d1cb21da862f55ac4694eee0603f0d03d70e1,0.04170%,User,
0x52f601a42726b781781e2dfb1b19718aaa1d3953,0.04170%,User,
0x63d272b5b85ad3193afe8fd8f39f32fb4a08a539,0.27258%,User,
0xe1812589722f791153729be63116fdf3ee625d69,0.11111%,User,
0x02ee056393655a5e91f81b46697c31de9b4d8ad4,0.04170%,User,
0x7ab9f80e064fc911eb14ead6c4cd28f2deea8855,0.09889%,User,
0x8e35de41c0184566068705a9c0a73e416636b730,0.20464%,User,
0xbef1adfaedca8a1720486d13ef4557d054c99fe2,0.20195%,User,
0xfcc7b6b1c58557a8d991a652d1e841f45c6793a0,0.14155%,User,
0x6f2b7514996d2139d34ebd500bd68b96c6902948,0.11101%,User,
0xbe2560cf91534974d692395daa3063d6a0f98d56,0.14476%,User,
0x202984913b7bb3a5ebc73e6596fead7bba7bb2e8,0.13926%,User,
0xeaee6c13daf0b3a2461a42a2c41f1762827d62ec,0.08340%,User,
0xdcca32c46fb3050c13a42564437d6a8f3fcc5d55,0.06253%,User,
0x1cbcc410925727887a04ae256de7ba85a5388403,0.56353%,User,
0x10101d6441c203248911ca90cf680fa73e4e6169,0.09939%,User,
0x46dad30b36ff954966fa65cf03e06bc7dd83cf7a,0.12582%,User,
0x1ea7853c0e74a60d1feee21a71240f628a2e068a,0.11472%,User,
0x030defb961d3f3480a574cedf6ead227a7a8106b,0.12393%,User,
0xf6edba01e72d60849cdc77910f138d91b4950974,0.28679%,User,
0x0bc78f620f994be5450c13724d6e5708c5c4eafc,0.28444%,User,
0xe22d7289f631cb9533894b478ead30e1777c5482,0.32197%,User,
0xf86c6862f01cb8c931146d63d0f2d6c244e3e5ac,0.04170%,User,
0x97085cac8f4211188faaa35f03eb61b338230988,0.10423%,User,
0x775c43210d2fce633fc2cfbb1cd451897fb1151d,0.22242%,User,
0x4155bf25ff385925e1f6840999915dfff546632c,1.37102%,User,
0xb11e239910eaafa78fa925e566c20bc611fd4995,0.04776%,User,
0x04c52a6f64b5ed1d6de055abecf85c839ab07ad7,0.07515%,User,
0xc529c0f34ab0c3705a50bd394073722fae53339f,0.11101%,User,
0x6321c84a6e0bf5161854a4a17f8d48efa9df370b,0.13218%,User,
0x0de0c8e36c8f785d7a71338bf6e44d4d4380de4a,0.38064%,User,
0x636d90e41c0a26cdb826c4bc847956772a297ed2,0.22619%,User,
0x498ed727bed57d9c509ec8eacc78068fb326165a,0.96299%,User,
0xd79a3eadc54d9ddb2d7a1293d83ecaacd9a7cbaa,0.11416%,User,
0xf647a1695b5e8eaedc8e766cdfc15444a05f9eb6,0.21014%,User,
0x7fa01795bb0b15138622b2e3157e7cc861aa51be,0.26361%,User,
0xdf2af560180103324a3e83976e884e9188e53a09,0.05382%,User,
0x47be918c79d141f896b31e382ca4101608ddc94a,0.07515%,User,
0xb85ff4cde27396739cca64562ef93968eaa32003,0.31438%,User,
0x02c187a4e659d19fe1a8aa52713256bdd2acd44a,0.04170%,User,
0x428ccf40038ad47992e49eeb76a59a1bbcd5231f,0.04170%,User,
0x454e8e59a9024b00d317550e02acf552b828c88b,0.04170%,User,
0x02306108713e99cf45dfea33c12438ccba96482d,0.15973%,User,
0xe22888d8fc154f89ebc80595a5be2990ed1d8aa4,0.04170%,User,
0x428ed7c65aa0deff25d8455899f585308dd43651,0.23444%,User,
0xf0638096047ef0183d0f3232e82205b118e100dd,4.04524%,User,
0x3e58e2706085dcd2a118d067aaa94d0adbbea972,0.32742%,User,
0x3b00d428be2cf7fe7fbad0ff6bb6b57795b493b7,0.47461%,User,
0xf17abb7d9fcecf8405b7b76d9ff219a2b78d4f32,0.04170%,User,
0xb365f17371acf53020a83d11f5e15838f7f284cf,0.12048%,User,
0x1eef7e3436ed3529533073c801e83864588955c2,1.15612%,User,
0x48006c2fb7f24ba3ab70069d2cb29d4eb81414e2,0.08121%,User,
0x16a81a06bb1daffb5c6b16e4498b91b011c411c7,0.91305%,User,
0x816eb16ada61d4cd008d86d5a9d3db2290db9933,1.21360%,User,
0xca74ebb0c97b5b7f66d3a5dd96d64612b82efd0d,0.04170%,User,
0x3a402a4c7b6bef26c390243fcff23f1c1153d56a,0.31627%,User,
0x69b21718ba4eaa628ec40a653f2555fdbc39b809,0.04776%,User,
0xe7bfc67952b0a48f4ce3db309ab1adda322763dc,0.11197%,User,
0x9ec290dde6da5b097eccc181feb0fd43e4095bd3,0.03345%,User,
0x2f3e9cc7dc14e959e85d8316f6915c224876c737,0.24433%,User,
0x1162a2e340c3b6b845e2993ee6807ac67ff4230c,0.03951%,User,
0x9aad504d2ecf1ea366c61dd911e1d011decfc83d,0.20046%,User,
0xc52c6af7d3a14ae1cb75717f0f456f28fd3874b8,0.05163%,User,
0x32084c6132b430a6b618680314285a64d23c7500,0.08223%,User,
0x735fbbaa3b8c9a3b26565a004108c7446f1ccd5c,0.28596%,User,
0x3073244fc68ed2cb8bf4eea14a3dac0e32bd7b2a,0.06640%,User,
0x70cd374a05713d6ddaccd2c9e9d800601e3eef59,0.03951%,User,
0x85a9478f699028a8acaeb7f149fb4a5e03d1deee,0.18555%,User,
0x1ceb43a029ac143973f9746a33072d6256857459,0.11147%,User,
0x5a20d2f371f2e786e1af2af8b75f544c0f71db94,0.03951%,User,
0x440631dbdc0753e45241569c6d63552eac8e3130,0.25161%,User,
0x670b3b004d1568e33ced31c4cf9103a05f0b44e5,0.03951%,User,
0x440a3cd5d2116c1e473b687892497efeb80939c9,0.14919%,User,
0x9c82ac0dfb51e6e16b10175a861f3d58587cb450,0.28689%,User,
0x32b3ac66032258cfebe318a910c181993974468a,0.12730%,User,
0x7e7bf6fb2332e3990e1088955c46d814f6e03367,0.03345%,User,
0x239b52627cd1ae87dbc75cb4673af79a7f51ee5a,0.08458%,User,
0xc747f7914c6ae13fe69d4cc09f7682750d84488e,0.13677%,User,
0xc90211eeb4da7dd45fd4ae6d02445b33ec103e46,0.03951%,User,
0x981870515b98c82add0e10e63e4d9f6a81905060,0.03345%,User,
0x30727b505059a7c511e97c591eed6f5e02a497bb,0.05769%,User,
0xc031f1b5da488c3f4d78f9eb63b689b841d55b55,0.23112%,User,
0x5e3b50666e649056b86956e98b45ecb98f75ee9f,0.06981%,User,
0x8a46956ee26fa199030645a58b52d641720528ec,0.04557%,User,
