Addresses ,Allocation % ,Type,Sum
0xa87be03172978784a430ae111f0d6e547faeaf80,0.0046003450258769%,Bridge User,
0x170ab9e4f54dab5edccbec8f349746ceefb01297,0.0046003450258769%,Bridge User,
0x1f367e135c820b3ed88c16edb30ef2d508ad1191,0.0046003450258769%,Bridge User,
0xc56b82de3e1f208c777332b2b800e439f194207f,0.0046003450258769%,Bridge User,
0x9f0ede8ffae24e77e0298aaa340805a3b2d1fe6e,0.0046003450258769%,Bridge User,
0x245fc67c214048a420358b97e24d12eab269f8e3,0.0046003450258769%,Bridge User,
0x5ce5c394a0f8a4be282c8659e405524a089a9843,0.0046003450258769%,Bridge User,
0xaf1c383ce06debbf9f3c91349fd03cf651221121,0.0046003450258769%,Bridge User,
0x404a14ac3d1f1cb70a3ab35f3c6a7a79dc5a58ff,0.0046003450258769%,Bridge User,
0xe1b66299b7d9daf82f8d4fd072c4388beb6f8c11,0.0046003450258769%,Bridge User,
0x7ab03a4c2512d518869858f849139be3c8b9ec21,0.0046003450258769%,Bridge User,
0xab3d142d53e9db7932416367cdd8336a6c03ef27,0.0046003450258769%,Bridge User,
0x74da22095e91c0812d23318c4a966bd09ffded8f,0.0046003450258769%,Bridge User,
0x7737fbeeab8e2e7d6280ee9d5b658fae2747e6af,0.0046003450258769%,Bridge User,
0x6b7df0e099ba3b13b9a6d673283259111d026bd0,0.0046003450258769%,Bridge User,
0x86b937bffeee29d2fe56c00203fd561a08ef7bec,0.0046003450258769%,Bridge User,
0x1976118727654b2904ea113f330ee33f1798282a,0.0046003450258769%,Bridge User,
0xbee377a1f80f57fccf64f0ac86c54a89402aca05,0.0046003450258769%,Bridge User,
0x89859b82954a71c8813a2e313c231208ab58e353,0.0046003450258769%,Bridge User,
0xc35b10eff96e8d89fcc4ba25ccb41ee830803aca,0.0046003450258769%,Bridge User,
0x1ae63135805de075e7cd0ee1eabd67781d7b9fc6,0.0046003450258769%,Bridge User,
0xa6bb8b84086df8a18eefa1fb28fc21b6dc6064d7,0.0046003450258769%,Bridge User,
0x24e172d48b434dffd3215f36a09882180af2b85d,0.0046003450258769%,Bridge User,
0x27563a856660c850b1ebeca22b5c8a153033b4da,0.0046003450258769%,Bridge User,
0x339c85e954049eb3acc74ac6606485d707552264,0.0046003450258769%,Bridge User,
0x12bec274578060e2e2701f1ec7dc3b7576e50cac,0.0046003450258769%,Bridge User,
0xcec896b6fbe615864b04683d35da1c9ed9770015,0.0046003450258769%,Bridge User,
0xf3bdb2eac8eaa1b9a9f1b68d96c76c7a4f9c2b88,0.0046003450258769%,Bridge User,
0x0f9d6c0b9c5df15f43c1347a48e6153df4c6a6cb,0.0046003450258769%,Bridge User,
0xd846f9e41397b9dd02cc693ad4a5f74f1b22f341,0.0046003450258769%,Bridge User,
0xdd7d5610019bd1edc79a3a7dad948cecec616eab,0.0046003450258769%,Bridge User,
0x9b729deb62aa00367d21450426ec64cf965ee978,0.0046003450258769%,Bridge User,
0x7f3cd5da54b7aaf26fe2eecdbc394bd4d05b5226,0.0046003450258769%,Bridge User,
0xdfe54c364f9b8f98e837a82a1770b59d19fd3684,0.0046003450258769%,Bridge User,
0xb9d10940dae76c3e50d422c754009eeda22b4ea0,0.0046003450258769%,Bridge User,
0xfa273e0cbf9de49e455188fc7c623a8128d842b7,0.0046003450258769%,Bridge User,
0x67b69c822553fe57d8b7e354af4f540c4e8963c9,0.0046003450258769%,Bridge User,
0xf0c56251ce95e39882cc58f3cc14272771ae2f44,0.0046003450258769%,Bridge User,
0xa8c38587981b9bf44be17b542bc61d0ad86e1020,0.0046003450258769%,Bridge User,
0x7cfe310b31c71c45a8141326cb73f7e248a42bd1,0.0046003450258769%,Bridge User,
0x8a087db0ef2bc0354e707162c51de60cd5dfaa2e,0.0046003450258769%,Bridge User,
0xf943be50ee14abcaa164b5b10e6f5ee31ed2cd86,0.0046003450258769%,Bridge User,
0xab9bc9a5ef8d7ebc3f79d6ae47636e86469b362e,0.0046003450258769%,Bridge User,
0x6614be64e699e18878336ee1a3debfcae69592b9,0.0046003450258769%,Bridge User,
0x3aac2d9672cd0e080bf5e770fef9d2fc4e237865,0.0046003450258769%,Bridge User,
0xc1c2d0860a213c630c7e285eb5b8b1ebdfa205b1,0.0046003450258769%,Bridge User,
0xecec066ac76f02590dd7ff6201f556e6f079d257,0.0046003450258769%,Bridge User,
0xda9f28a1b0ce18b011a404f3372d98c3e3143569,0.0046003450258769%,Bridge User,
0xfbab39445f51c123194eed79894d5847fd794aa8,0.0046003450258769%,Bridge User,
0x266d9ea940c667d97485089981f886963185c63d,0.0046003450258769%,Bridge User,
0x340d0a97d0edffde57c0a08cfeaa8a32c61900bc,0.0046003450258769%,Bridge User,
0x4762cdb001b717974a44a5380081d34523f5d445,0.0046003450258769%,Bridge User,
0xf5a79c88b82bee71307fcfbb18de8696e0f31862,0.0046003450258769%,Bridge User,
0xb2c555f526c379a0107a8d04805200de4c52c640,0.0046003450258769%,Bridge User,
0x3e8d1694270b2f3aab6cfc4cc3874e6b8960f073,0.0046003450258769%,Bridge User,
0x196b473f7d74820029e269a98baf3517c463fa89,0.0046003450258769%,Bridge User,
0x796208c1606ae0a604518e49b153b266903320b3,0.0046003450258769%,Bridge User,
0x2d0a364c22e369f322df6b74c3f02981aa9657c8,0.0046003450258769%,Bridge User,
0xa3a648cb36fe36ba3aa48f1d54365fe696944c6d,0.0046003450258769%,Bridge User,
0x43f20935e234ff894254cadae48d929434483f99,0.0046003450258769%,Bridge User,
0x4f4d6de3c6e7f26ac42206fcfe590d265dc8e65d,0.0046003450258769%,Bridge User,
0xbf86d17901f1251c9fca0f5be77c46726057625b,0.0046003450258769%,Bridge User,
0x4d9be487a31987b94777f1f32f473105cbff271f,0.0046003450258769%,Bridge User,
0xd2dc261873897aaf3d34c4b7980e0a3f6118b49a,0.0046003450258769%,Bridge User,
0x77e2b69af76d1c24e42b2622ad81d1b6c6a02da6,0.0046003450258769%,Bridge User,
0x5f6aaa69af309062cc7080ab0011a102649c4b47,0.0046003450258769%,Bridge User,
0x8b9a3787dfa6d221990967c7aee4c6f7237649a4,0.0046003450258769%,Bridge User,
0x71f784c2ff5395efe3586c3007662f4fa4689d97,0.0046003450258769%,Bridge User,
0x0d71e804253f4f59f96c117bd0d77df326c2441b,0.0046003450258769%,Bridge User,
0xf8e64d71d6ff336d17808ac8c183ebd4b3cf5eb2,0.0046003450258769%,Bridge User,
0x65e89269d94bf55cf135b265543ee860efdd81b3,0.0046003450258769%,Bridge User,
0x36dcdbb4813d4868cfa7771ee84f5221c648a716,0.0046003450258769%,Bridge User,
0x4c8bb0d1505364db5c788b74cb54735100339a8d,0.0046003450258769%,Bridge User,
0x5a776e8327f387d5cc4582862c3e8094430946f1,0.0046003450258769%,Bridge User,
0xee6b5baa4e0ea45983907dcfd2eb99487807ccb1,0.0046003450258769%,Bridge User,
0x177f5212462f1869eeef3e42494e37845dc40f7a,0.0046003450258769%,Bridge User,
0x8afbca3c6627fb0872d6435039d5db49ecd55514,0.0046003450258769%,Bridge User,
0x78684661261cf386764f683f24e7bcc73ef21c04,0.0046003450258769%,Bridge User,
0x78fec32317e524d953db63b8c9de0f1f5b131b9d,0.0046003450258769%,Bridge User,
0x5b9dd7921e6a7bf00d0ead3b8f52e4cf43108e44,0.0046003450258769%,Bridge User,
0x4bf6a5ead2dd225ae1191e6c1ce3bba3a3e51af4,0.0046003450258769%,Bridge User,
0x0bfcae0c4f4de3c5d0e465e25c2ac0e8dacabb41,0.0046003450258769%,Bridge User,
0xd23939a2995e56723c542a5b3d3051a0a80d4dbe,0.0046003450258769%,Bridge User,
0x115e9d1646a7c414e48dccd929d0812103070b40,0.0046003450258769%,Bridge User,
0x989770264335fed3e6f718d8511d5fc15e08954b,0.0046003450258769%,Bridge User,
0x1dcbb7863137b0928ac30d9e834ffe166c0772a0,0.0046003450258769%,Bridge User,
0x89cbada8c98919e8c44d744a4234c2a8e22dc4d9,0.0046003450258769%,Bridge User,
0x51a8627b830b37f45d3dd6d3d73c2be7a45b35c8,0.0046003450258769%,Bridge User,
0xa2a28aa4fc81ab40e3e2ee7d9a4d8b5ad5334972,0.0046003450258769%,Bridge User,
0x8f058fe6b568d97f85d517ac441b52b95722fdde,0.0046003450258769%,Bridge User,
0x70ff14460b5bb1ba0993fac5b0a9f53ec22f060c,0.0046003450258769%,Bridge User,
0x14d057608a9f6ed03187faaab218d77e7fe02692,0.0046003450258769%,Bridge User,
0x79bc0f4b517d20389531e6b87422ce00990ad275,0.0046003450258769%,Bridge User,
0xcaf6ee775d1a8146350f7b6d5be836a6a7c0e753,0.0046003450258769%,Bridge User,
0x6ddfe5394839f90543d1ee4728879abe5a2b08e5,0.0046003450258769%,Bridge User,
0xe537934495b4d65a0c12c15da8100b1ea51b88f6,0.0046003450258769%,Bridge User,
0x409a37d2ad72ca59dd77d7bedb75a3e2f5404879,0.0046003450258769%,Bridge User,
0x7a76f638186fd323a9010dbe9994acec38912a07,0.0046003450258769%,Bridge User,
0x4b5dfbc0bb2099b7ed12b67bfa29eb215cdf1598,0.0046003450258769%,Bridge User,
0xdd28d4909a1ad838e45ba869358dd7661c27307c,0.0046003450258769%,Bridge User,
0x42ae01552f4fc48edb2c7e9529494ee4dee25f1b,0.0046003450258769%,Bridge User,
0xecef1d16395b731740898ca2c0c5da3a51beae30,0.0046003450258769%,Bridge User,
0xe9f157f18848fa600bd003e4a81ff98349c9c55c,0.0046003450258769%,Bridge User,
0xf598fda39e2dd32517d83d7195ef174e139ac088,0.0046003450258769%,Bridge User,
0x8b437d4bd3c5d73c5a8fa26ade78fa5770fd6528,0.0046003450258769%,Bridge User,
0x9c1d152cc101a68226c7de4d502f52ba0d76dc75,0.0046003450258769%,Bridge User,
0xaa8660430bb627d9a490099e77c357b48e545a17,0.0046003450258769%,Bridge User,
0xb3305202d13c59da248134374c1a686d6b93e3ef,0.0046003450258769%,Bridge User,
0x7560e255f7d5abd4af80d48f9834bad510a27835,0.0046003450258769%,Bridge User,
0x0e0d89ea51194576fca668a4ca78135af311c1ef,0.0046003450258769%,Bridge User,
0x716f7761a55247058dedc124cade635cbee2109f,0.0046003450258769%,Bridge User,
0xa9e0e05e596e9407694ef0952f8bec109f79c5a5,0.0046003450258769%,Bridge User,
0xbc2e26ded32a96911b65ee2283a1e30f077bbc59,0.0046003450258769%,Bridge User,
0x3f82827a740ab9d63de747e63a712ca315b7b2f5,0.0046003450258769%,Bridge User,
0xcb1141e9ddb6858cdb4b2e622cb4ac762af66013,0.0046003450258769%,Bridge User,
